,Site,Date,Time,Value
315,0031,2020-01-14,3.0,0.384
316,0031,2020-01-14,4.0,0.375
317,0031,2020-01-14,5.0,0.483
318,0031,2020-01-14,6.0,0.574
319,0031,2020-01-14,7.0,0.66
320,0031,2020-01-14,8.0,0.778
321,0031,2020-01-14,9.0,0.771
322,0031,2020-01-14,10.0,0.77
323,0031,2020-01-14,11.0,0.699
324,0031,2020-01-14,12.0,0.74
325,0031,2020-01-14,13.0,0.348
326,0031,2020-01-14,14.0,0.298
327,0031,2020-01-14,15.0,0.254
328,0031,2020-01-14,16.0,0.281
329,0031,2020-01-14,17.0,0.281
330,0031,2020-01-14,18.0,0.258
331,0031,2020-01-14,19.0,0.232
332,0031,2020-01-14,20.0,0.208
333,0031,2020-01-14,21.0,0.198
334,0031,2020-01-14,22.0,0.189
335,0031,2020-01-14,23.0,0.177
336,0031,2020-01-15,0.0,0.238
337,0031,2020-01-15,1.0,0.167
338,0031,2020-01-15,2.0,0.173
339,0031,2020-01-15,3.0,0.205
340,0031,2020-01-15,4.0,0.198
341,0031,2020-01-15,5.0,0.326
342,0031,2020-01-15,6.0,0.267
343,0031,2020-01-15,7.0,0.358
344,0031,2020-01-15,8.0,0.534
345,0031,2020-01-15,9.0,0.331
346,0031,2020-01-15,10.0,0.252
347,0031,2020-01-15,11.0,0.237
348,0031,2020-01-15,12.0,0.228
349,0031,2020-01-15,13.0,0.249
350,0031,2020-01-15,14.0,0.291
351,0031,2020-01-15,15.0,0.406
352,0031,2020-01-15,16.0,0.338
353,0031,2020-01-15,17.0,0.354
354,0031,2020-01-15,18.0,0.309
355,0031,2020-01-15,19.0,0.251
356,0031,2020-01-15,20.0,0.225
357,0031,2020-01-15,21.0,0.237
358,0031,2020-01-15,22.0,0.21
359,0031,2020-01-15,23.0,0.193
360,0031,2020-01-16,0.0,0.185
361,0031,2020-01-16,1.0,0.177
362,0031,2020-01-16,2.0,0.193
363,0031,2020-01-16,3.0,0.192
364,0031,2020-01-16,4.0,0.188
365,0031,2020-01-16,5.0,0.189
366,0031,2020-01-16,6.0,0.206
367,0031,2020-01-16,7.0,0.19
368,0031,2020-01-16,8.0,0.178
369,0031,2020-01-16,9.0,0.189
370,0031,2020-01-16,10.0,0.191
371,0031,2020-01-16,11.0,0.19
372,0031,2020-01-16,12.0,0.186
373,0031,2020-01-16,13.0,0.179
374,0031,2020-01-16,14.0,0.182
375,0031,2020-01-16,15.0,0.206
376,0031,2020-01-16,16.0,0.199
377,0031,2020-01-16,17.0,0.171
378,0031,2020-01-16,18.0,0.171
